"","2","3","4","5","7","8","9","10","12","13","14","15","17","18","19","20"
"Q7LDG7",-3.45668072475738,-3.17753719609583,-5.80082871998354,-5.93960775282837,-3.29979396240592,-3.43626950940069,-5.21477334597166,-4.82460356554018,-3.20449051871881,-3.22411267915345,-4.8362225374667,-5.1914971892983,-3.5742111687208,-3.59023962682755,-5.39053312926482,-5.08441268674671
"Q9UHL4",-2.77116674942591,-2.88645369564685,-4.52557847917904,-4.51262943085818,-3.71804383305637,-3.79384800882785,-5.15767521074943,-5.04510064872452,-2.69325720856787,-2.77294645688987,-4.4291161422786,-4.44610351033293,-3.52225985560837,-3.40574782126063,-4.32326036505566,-4.76590154766881
"Q13510",-2.89614379316998,-2.67488719831429,-4.79343436914278,-4.6056207866444,-3.92799748327749,-3.73152967917394,-5.299044543316,-4.97949481525185,-3.02126860705675,-2.94989812426359,-5.31331301273743,-5.28138781765242,-3.03108169495056,-2.94417836412821,-4.82606403206979,-5.03505002838303
"Q13315",-2.94890146781448,-2.76282348796165,-4.43058403837197,-4.49931284893095,-3.56217094071064,-3.6318892049298,-5.01950472850578,-4.99971607832904,-3.31873033390811,-3.2956764541367,-4.66667995137881,-4.63656818607866,-3.22107432384107,-3.15444306797894,-4.58333197356772,-4.62048638958005
"Q9NUV9",-3.30269599054946,-3.23920831858593,-4.3745307717212,-4.32388977849289,-3.57636116700263,-3.64835162460824,-4.57174759634812,-4.61312777052158,-3.42423345286976,-3.36200214965698,-4.54100856535424,-4.62013597050568,-3.57255189183848,-3.53856907087518,-4.94167774690808,-4.96753210296998
"P42785",-3.04370090036655,-3.19658443258177,-4.47524281806337,-4.57543892447592,-3.35414786596743,-3.38214604184531,-4.8752835970256,-4.73816271714302,-2.97484136374047,-3.00026447859638,-4.50775854351169,-4.48554162216457,-2.70611091612093,-2.64447605028609,-4.52021247142233,-4.53513019328288
"Q5SSJ5",-3.25223601587386,-3.19400858913631,-4.64629210716958,-4.64348133516912,-3.60193500719865,-3.66153595691471,-4.711346250971,-4.64718076013214,-3.29717532444014,-3.24176445055968,-4.80869882329873,-4.78390297718508,-3.21959392258679,-3.22087918116948,-5.03912365975775,-5.11031295457647
"Q96ME7",-3.24121160853462,-3.06789762679517,-4.38511108633047,-4.3809716466067,-3.357564721856,-3.60231790967303,-4.72185885537761,-4.73434936645438,-3.12361523434766,-2.96657380881277,-4.41857628997531,-4.7060006252659,-3.2245660258547,-3.37999095061361,-4.69361401597529,-4.97597512995079
"Q9Y4F9",-3.42609852193552,-3.25031485529421,-4.76734040033368,-5.05621807899574,-3.36410521505684,-3.36394372906751,-5.07757685620971,-4.99098158680188,-3.34385485477843,-3.07069140516448,-4.56161897667517,-4.47871278241272,-3.44274677670005,-3.42425929301641,-5.03879092051228,-5.0552522613158
"Q8WWP7",-3.56706907346452,-3.46330597757025,-4.42979496677711,-4.58132061839293,-3.29250939139893,-3.39051172310871,-4.6243956221703,-4.63136897492283,-3.31317638838605,-3.21804783515273,-4.37465773188334,-4.51946859039958,-3.43611701660889,-3.40387677687717,-4.91485179845141,-4.88215602160934
"Q12882",-3.46386943859094,-3.4871231867626,-4.54701803856821,-4.8554724306198,-3.32409135766451,-3.34841654575245,-4.76551826885281,-4.68530298891983,-3.75622806482088,-3.57514924480327,-4.59132282059726,-4.58425407629692,-3.77883248052849,-3.58199494106561,-4.4470521713018,-4.4831851225471
